WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
5906107110,-154.8118,-37.70551,-5264.537,287.9396,-1,33400,-5214.28179919,435.6,9998,-5208.0
5906107111,-154.6407,-37.77859,-5361.06,310.53,-1,33400,-5258.25552085,543.6,9998,-5254.0
5906107112,-154.4323,-37.71313,-5296.305,397.0434,-1,33400,-5397.04186142,564.3,9998,-5407.0
5906107113,-154.446,-37.57803,-5335.979,388.7351,-1,33400,-5354.59677429,521.6,9998,-5353.0
5906107114,-154.4321,-37.41255,-5300.029,321.1651,-1,33400,-5227.16370277,441.2,9998,-5230.0
5906107115,-154.4619,-37.44351,-5300.402,294.7673,-1,33400,-5256.9605658,442.1,9998,-5253.0
5906107116,-154.4219,-37.31101,-5362.93,273.0632,-1,33400,-5357.74326958,433.7,9998,-5359.0
5906107117,-154.327,-37.22912,-5352.607,289.5523,-1,33400,-5264.24474593,474.1,9998,-5267.0
5906107118,-154.4268,-37.21106,-5382.343,260.0316,-1,33400,-5376.24488882,442.8,9998,-5376.0
5906107119,-154.4211,-36.94504,-5317.878,397.4364,-1,33400,-5324.57359262,665.4,9998,-5325.0
5906107120,-154.423,-36.81471,-5394.829,637.472,9998,33400,-5453.69197314,829.1,9998,-5454.0
5906107121,-154.4191,-36.82671,-5339.627,623.0142,9998,33400,-5451.29924048,812.4,9998,-5452.0
5906107122,-154.4595,-36.81084,-5389.311,602.5239,-1,33400,-5469.22164711,812.3,9998,-5468.0
5906107123,-154.5655,-36.89718,-5306.278,479.5392,-1,33400,-5228.10892188,661.6,9998,-5232.0
5906107124,-154.5696,-37.02037,-5368.393,373.848,-1,33400,-5355.6137007,505.8,9998,-5351.0
5906107125,-154.4528,-37.04621,-5324.513,355.7928,-1,33400,-5261.71367261,529.1,9998,-5265.0
5906107126,-154.4046,-36.92303,-5301.713,494.9674,-1,33400,-5353.77504032,693.3,9998,-5352.0
5906107127,-154.431,-36.79654,-5436.951,607.0555,-1,33400,-5518.53380773,847.3,9998,-5519.0
5906107128,-154.5497,-36.78796,-5291.508,558.1794,-1,33400,-5327.14653145,766.2,9998,-5305.0
5906107129,-154.6885,-36.87269,-5383.86,483.2007,-1,33400,-5413.93976565,648.9,9998,-5412.0
5906107130,-154.7723,-36.96201,-5168.474,388.4471,-1,33400,-5256.14454813,523.6,9998,-5288.0
5906107131,-154.7845,-36.9792,-5157.611,356.0428,-1,33400,-5122.94931524,505.6,9998,-5133.0
5906107132,-154.831,-36.84551,-5116.477,424.069,-1,33400,-5325.55569695,604.8,9998,-5303.0
5906107133,-154.7893,-36.75149,-5456.72,519.8456,-1,33400,-5538.31583638,704.2,9998,-5543.0
5906107135,-154.7381,-36.7945,-5328.99,505.6676,-1,33400,-5345.625539,677.2,9998,-5350.0
5906107136,-154.9615,-36.78732,-5477.028,515.3658,-1,33400,-5491.05549405,668.9,9998,-5484.0
5906107137,-154.9277,-36.61547,-5447.88,539.7877,-1,33400,-5491.21456576,731.2,9998,-5497.0
5906107138,-154.7919,-36.38495,-5455.831,659.1179,-1,33400,-5452.94845678,842.0,9998,-5451.0
5906107139,-154.8707,-36.32629,-5323.496,603.2853,-1,33400,-5331.80766073,819.5,9998,-5336.0
5906107140,-154.8642,-36.32636,-5375.114,606.0294,-1,33400,-5360.09392087,828.6,9998,-5358.0
5906107141,-154.7819,-36.2555,-5401.001,651.9127,9998,33400,-5496.93156884,872.9,9998,-5497.0
5906107142,-154.8318,-36.22197,-5441.195,660.9047,-1,33400,-5551.11052343,867.5,9998,-5547.0
5906107143,-154.8929,-36.29522,-5383.456,609.8658,-1,33400,-5367.30459124,828.9,9998,-5369.0
5906107144,-154.7607,-36.34817,-5482.661,658.0637,-1,33400,-5566.87158762,865.2,9998,-5567.0
5906107145,-154.8634,-36.35972,-5353.988,593.6625,-1,33400,-5303.18289326,818.0,9998,-5304.0
5906107146,-154.7913,-36.40885,-5393.957,608.857,-1,33400,-5395.10855454,825.8,9998,-5393.0
5906107147,-154.6802,-36.50925,-5470.68,605.4625,-1,33400,-5525.05273763,822.8,9998,-5522.0
5906107148,-154.6416,-36.67924,-5320.521,582.0463,-1,33400,-5338.78612515,776.2,9998,-5336.0
5906107149,-154.5961,-36.79757,-5382.443,535.1713,-1,33400,-5384.2458417,746.6,9998,-5391.0
5906107150,-154.597,-36.91783,-5379.287,457.9563,9998,33400,-5259.06619657,637.8,9998,-5260.0
5906107151,-154.5292,-37.1081,-5257.648,288.9538,9998,33400,-5243.72605588,413.7,-1,-5242.0
5906107152,-154.5837,-37.31959,-5348.497,185.6459,-1,33400,-5395.61701578,279.9,9998,-5395.0
5906107153,-154.7118,-37.60487,-5268.556,310.7847,-1,33400,-5214.61339097,450.6,9998,-5210.0
5906107154,-154.745,-37.59995,-5293.258,301.2908,-1,33400,-5224.93973864,437.2,9998,-5225.0
5906107155,-154.8904,-37.69124,-5284.4,281.8834,-1,33400,-5305.34245405,404.0,9998,-5303.0
5906107156,-154.8029,-37.81835,-5351.745,294.1238,-1,33400,-5292.7410408,425.8,9998,-5299.0
5906107157,-154.6122,-37.74957,-5253.375,391.2774,-1,33400,-5188.01188894,547.4,9998,-5191.0
5906107158,-154.7005,-37.69067,-5269.193,337.269,-1,33400,-5208.94178904,497.1,9998,-5206.0
5906107159,-154.8285,-37.77128,-5251.138,289.4317,-1,33400,-5307.83767318,413.4,9998,-5305.0
5906107160,-154.8098,-37.78791,-5252.68,284.1577,-1,33400,-5263.07783943,421.9,9998,-5261.0
5906107161,-154.7979,-37.77852,-5303.344,306.0458,-1,33400,-5277.68490968,439.1,9998,-5283.0
5906107162,-154.7117,-37.74882,-5329.7,368.8009,-1,33400,-5265.65693961,509.4,9998,-5266.0
5906107163,-154.6136,-37.54012,-5246.595,307.47,-1,33400,-5338.66586679,435.8,9998,-5339.0
5906107164,-154.6833,-37.44338,-5349.407,213.1025,-1,33400,-5440.88741201,289.0,9998,-5439.0
5906107165,-154.5053,-37.25258,-5325.384,260.1919,9998,33400,-5321.69988166,363.5,9998,-5323.0
5906107166,-154.3311,-36.98236,-5350.013,429.7168,-1,33400,-5466.30516351,631.3,9998,-5469.0
5906107167,-154.5856,-36.90184,-5324.291,468.5315,-1,33400,-5225.49908103,651.5,9998,-5226.0
5906107168,-154.5014,-37.03103,-5351.83,372.6818,-1,33400,-5267.98747108,524.3,9998,-5269.0
590610811,-149.9268,-39.15502,-5407.348,412.8966,-1,33400,-5404.2938593,609.8,9998,-5407.0
590610812,-150.0898,-39.22544,-5428.897,467.9598,-1,33400,-5475.08394469,675.0,9998,-5476.0
590610813,-150.1825,-39.29138,-5458.093,507.8764,-1,33400,-5522.69367217,754.9,9998,-5509.0
590610814,-150.1312,-39.39874,-5335.978,624.0212,-1,33400,-5418.55746773,924.0,9998,-5424.0
590610815,-150.1735,-39.45992,-5368.769,678.3804,-1,33400,-5425.11716307,1001.1,9998,-5427.0
590610816,-150.2749,-39.44639,-5287.538,647.6594,-1,33400,-5296.59821682,953.8,-1,-5297.0
590610817,-150.42,-39.31528,-5434.274,486.9923,-1,33400,-5426.56362627,700.6,9998,-5425.0
590610818,-150.3901,-39.27449,-5325.387,425.3504,-1,33400,-5324.70924945,647.1,-1,-5324.0
590610819,-150.3654,-39.20458,-5380.316,391.9048,-1,33400,-5379.48229014,594.8,-1,-5377.0
590610820,-150.5006,-39.0726,-5079.983,284.2,-1,33400,-5134.07253491,450.6,9998,-5132.0
590610821,-150.5541,-38.91728,-5433.114,354.297,-1,33400,-5367.57688129,498.0,9998,-5346.0
590610822,-150.5778,-38.7742,-5407.34,396.1128,-1,33400,-5379.99378105,605.6,9998,-5379.0
590610823,-150.5685,-38.66371,-5405.168,488.794,-1,33400,-5380.3408099,694.0,9998,-5386.0
590610824,-150.5464,-38.61271,-5404.708,417.5863,-1,33400,-5406.8426156,690.0,9998,-5403.0
590610825,-150.3419,-38.68447,-5433.228,448.4723,9998,33400,-5397.3236853,657.5,9998,-5404.0
590610826,-150.3641,-38.73468,-5453.044,499.122,-1,33400,-5452.73111705,665.7,-1,-5453.0
590610827,-150.2112,-38.74538,-5447.232,461.4594,-1,33400,-5491.22096238,649.5,9998,-5489.0
590610828,-150.2175,-38.75534,-5463.873,458.8755,-1,33400,-5503.10526865,645.7,9998,-5503.0
590610829,-150.4097,-38.7681,-5463.48,430.691,-1,33400,-5460.7921357,674.4,-1,-5461.0
590610832,-150.1239,-39.13601,-5314.511,414.0977,-1,33400,-5365.70280563,605.4,9998,-5374.0
590610833,-149.8092,-39.16742,-5426.41,414.0526,9998,33400,-5453.8799509,592.5,9998,-5452.0
590610834,-149.6551,-39.12939,-5425.17,352.4845,-1,33400,-5488.81027026,504.7,9998,-5491.0
590610835,-149.6513,-39.0489,-5434.308,372.9167,-1,33400,-5408.30973026,539.1,-1,-5411.0
590610836,-149.4453,-39.12677,-5399.715,266.2605,-1,33400,-5405.96554842,382.1,-1,-5404.0
590610837,-149.2408,-39.14583,-5470.746,236.5,-1,33400,-5475.61361264,275.5,-1,-5476.0
590610838,-148.8486,-39.24871,-5483.758,333.1683,-1,33400,-5495.8694139,462.8,-1,-5496.0
590610841,-148.3542,-39.31167,-5482.179,584.2878,-1,33400,-5510.07191474,894.6,9998,-5499.0
590610844,-147.5569,-39.44043,-5472.438,452.9646,-1,33400,-5479.1525595,628.8,-1,-5480.0
590610849,-146.863,-39.45975,-5334.98,462.3982,-1,33400,-5335.79296631,681.7,-1,-5336.0
590610850,-146.922,-39.34509,-5482.355,443.9637,-1,33400,-5456.53371027,644.5,-1,-5460.0
590610851,-146.6513,-39.32519,-5272.875,519.8433,-1,33400,-5298.64436873,782.3,-1,-5297.0
590610853,-146.2877,-39.10857,-5335.246,689.7448,-1,33400,-5345.1307949,1031.3,-1,-5343.0
590610854,-146.2189,-38.88274,-5355.494,607.293,-1,33400,-5395.67429021,902.5,9998,-5394.0
590610855,-146.1532,-38.81962,-5485.809,660.0492,-1,33400,-5492.68923575,911.7,-1,-5494.0
590610856,-146.3296,-38.91467,-5333.306,606.9321,-1,33400,-5354.31885089,873.1,-1,-5357.0
590610859,-146.0682,-38.80519,-5439.653,663.8041,-1,33400,-5413.48328392,941.3,-1,-5412.0
590610863,-146.0532,-38.80738,-5383.8,643.3416,-1,33400,-5404.05924772,935.9,-1,-5406.0
590610864,-145.9214,-38.6968,-5416.767,746.5912,-1,33400,-5427.5181604,1085.3,9998,-5426.0
590610865,-145.8596,-38.65258,-5398.978,781.3492,-1,33400,-5459.00873059,1145.0,9998,-5464.0
590610866,-145.6564,-38.6979,-5406.119,776.9106,9998,33400,-5478.05380768,1117.1,9998,-5478.0
590610867,-145.4154,-38.58638,-5418.177,773.1427,-1,33400,-5438.35196947,1112.0,-1,-5439.0
590610870,-145.5699,-38.3623,-5449.839,893.6932,-1,33400,-5406.14761592,1273.5,9998,-5389.0
590610873,-146.1284,-38.13005,-5436.692,784.1825,-1,33400,-5472.05506728,1130.8,9998,-5473.0
590610874,-146.3476,-38.07492,-5394.708,787.0135,-1,33400,-5406.1603771,1116.8,-1,-5405.0
590610875,-146.4643,-37.85527,-5427.05,558.3385,-1,33400,-5395.64738924,793.6,9998,-5398.0
590610876,-146.5725,-37.59604,-5407.427,464.9603,-1,33400,-5396.89927943,664.3,-1,-5392.0
590610877,-146.6027,-37.38801,-5173.318,391.6739,-1,33400,-5113.87611794,588.4,9998,-5117.0
590610878,-146.6582,-37.24136,-5360.154,411.7812,-1,33400,-5361.63201246,586.1,-1,-5364.0
590610879,-146.6335,-37.1448,-5431.459,425.184,-1,33400,-5440.59553757,593.1,-1,-5439.0
590610883,-146.8191,-37.0505,-5463.738,412.6757,-1,33400,-5462.05651749,574.8,-1,-5461.0
590610884,-146.9078,-36.9579,-5460.396,488.4727,-1,33400,-5458.3236786,667.5,-1,-5461.0
590610888,-146.864,-37.08882,-5406.122,377.6156,-1,33400,-5402.75873509,535.3,-1,-5402.0
590610889,-146.8693,-37.0351,-5449.71,421.414,-1,33400,-5451.00840351,578.2,-1,-5451.0
590610890,-146.7587,-37.06629,-5474.861,417.7022,-1,33400,-5463.38270433,580.1,-1,-5466.0
590610891,-146.8756,-37.08863,-5397.7,372.6177,-1,33400,-5397.2054512,533.0,-1,-5396.0
590610892,-146.9458,-36.95349,-5466.592,471.7385,9998,33400,-5482.92944893,669.3,-1,-5482.0
590610893,-146.9283,-36.88362,-5380.078,517.8898,-1,33400,-5364.49529705,756.4,9998,-5375.0
590610894,-147.0012,-36.88612,-5400.313,517.7336,-1,33400,-5368.83770574,739.1,9998,-5369.0
590610895,-147.0822,-36.90328,-5306.953,479.1762,-1,33400,-5454.76617943,696.9,9998,-5445.0
590610898,-147.2099,-37.25932,-5231.323,384.7391,-1,33400,-5234.03622018,565.3,-1,-5234.0
590610899,-147.0009,-37.10036,-5309.862,352.2537,-1,33400,-5314.64578717,521.4,-1,-5314.0
5906108100,-147.0422,-36.9445,-5328.726,452.0794,-1,33400,-5368.42177377,650.8,-1,-5367.0
5906108101,-146.9082,-36.85357,-5371.087,543.4415,-1,33400,-5351.73282454,796.3,-1,-5358.0
5906108102,-146.9946,-36.82742,-4995.375,441.9273,-1,33400,-4960.7745907,764.0,9998,-4959.0
5906108103,-146.985,-36.82666,-4979.566,496.8775,-1,33400,-4957.16432732,763.7,9998,-4956.0
5906108104,-147.0665,-36.81971,-5133.937,529.7311,-1,33400,-5144.78581834,801.8,-1,-5143.0
5906108105,-147.1485,-36.90786,-5078.251,425.2183,9998,33400,-5604.81484248,653.7,9998,-5603.0
5906108106,-147.3658,-37.0812,-5403.318,449.6225,-1,33400,-5342.80307273,629.3,9998,-5348.0
5906108107,-147.5515,-36.94984,-5234.276,549.6707,-1,33400,-5244.13186297,853.4,-1,-5244.0
5906108108,-147.5948,-36.86492,-5215.227,636.8482,9998,33400,-5222.32870742,986.9,-1,-5224.0
