lat,lon,grnd,gebco,uncertainty,tid_flag
-17.05689,-33.27526,4534.716,4554.0,1516.3,9998
-17.59081,-33.60834,4467.813,4476.0,1250.3,9998
-16.909,-34.09609,4430.972,4417.0,1696.1,-1
-16.79022,-33.51914,4528.452,4541.0,1442.7,-1
-16.92518,-33.43569,4536.694,4533.0,1476.4,9998
-16.95596,-33.65426,4506.901,4529.0,1557.6,-1
-16.30242,-33.89542,4470.056,4478.0,1306.8,-1
-16.19177,-33.8977,4475.143,4476.0,1237.1,-1
-15.95126,-33.7646,4504.695,4507.0,1106.6,9998
-15.64928,-33.02999,4620.382,4589.0,1106.3,9998
-17.07664,-33.76387,4471.146,4485.0,1544.3,9998
-17.57627,-33.4394,4496.048,4535.0,1321.8,9998
-17.03892,-32.94096,4551.558,4579.0,1464.3,-1
-16.42209,-33.06707,4600.942,4577.0,907.3,9998
-16.04269,-33.27457,4600.347,4606.0,1103.2,9998
-15.85426,-33.4747,4564.383,4586.0,1100.3,9998
-15.6331,-33.76807,4513.135,4497.0,1032.1,9998
-15.87065,-33.76742,4510.358,4511.0,1083.5,9998
-16.29356,-33.66682,4523.502,4537.0,1229.3,9998
-16.67771,-33.73222,4532.468,4551.0,1552.2,9998
-17.20241,-33.5093,4504.215,4521.0,1525.6,-1
-17.13529,-33.12613,4545.598,4564.0,1537.6,9998
-17.32524,-32.79578,4537.28,4573.0,1633.0,9998
-17.31637,-32.56239,4579.033,4589.0,1676.2,9998
-17.17541,-32.60779,4584.808,4601.0,1589.5,9998
-17.1295,-32.51865,4586.083,4606.0,1538.4,9998
-17.3016,-32.62945,4551.885,4585.0,1655.5,9998
-17.44527,-32.68359,4516.618,4566.0,1611.7,9998
-17.46996,-32.79396,4511.063,4532.0,1576.4,9998
-17.49156,-32.80962,4511.253,4533.0,1561.4,9998
-17.47712,-32.71316,4509.991,4533.0,1585.4,9998
-17.26972,-32.75093,4551.212,4594.0,1633.4,9998
-17.11908,-32.85886,4536.648,4552.0,1527.9,9998
-17.17624,-33.12148,4540.139,4578.0,1548.1,9998
-17.06451,-33.45905,4522.84,4530.0,1543.7,-1
-16.95378,-33.74503,4491.911,4503.0,1580.2,9998
-16.78488,-33.99117,4473.745,4441.0,1713.4,9998
-15.9649,-34.13943,4437.706,4459.0,974.9,-1
-15.99046,-33.78916,4505.075,4497.0,1119.8,-1
-16.2915,-33.1567,4601.069,4589.0,1005.2,9998
-16.57846,-33.31738,4567.723,4570.0,1158.9,9998
-16.53995,-33.71098,4517.51,4534.0,1439.8,9998
-16.13055,-33.95353,4472.917,4479.0,1199.1,9998
-15.57838,-33.81694,4514.51,4510.0,998.2,-1
-15.87583,-33.64638,4534.303,4541.0,1101.5,-1
-15.91665,-34.05819,4452.711,4514.0,976.0,-1
-16.37787,-34.25431,4363.305,4371.0,1453.0,9998
-16.29052,-34.52996,4351.147,4340.0,1303.5,9998
-27.05868,-30.04409,4168.817,5378.0,256.7,9998
-27.24171,-30.05577,3944.572,5031.0,344.7,9998
-27.25166,-30.06848,3945.251,4989.0,347.9,9998
-27.36524,-30.27448,5158.124,5067.0,423.0,9998
-27.36128,-30.50264,4776.504,4826.0,325.1,9998
-27.35195,-30.94137,4991.521,5038.0,298.3,9998
-27.44656,-31.14625,5075.047,5048.0,324.7,9998
-27.51641,-31.38646,5049.305,5004.0,341.9,9998
-27.33656,-31.64379,4868.021,4813.0,188.5,9998
-27.43212,-31.84273,4717.884,4686.0,92.3,9998
-27.52689,-31.89624,4759.441,4793.0,49.2,9998
-27.58888,-31.94957,4733.279,4707.0,25.8,-1
-27.60855,-32.04165,4686.136,4677.0,23.6,9998
-27.63639,-32.12556,4631.008,4688.0,37.7,9998
-27.60344,-32.10408,4708.784,4716.0,14.7,9998
-27.62901,-32.05878,4677.089,4659.0,38.5,9998
-27.60387,-31.99768,4702.758,4677.0,23.4,9998
-27.55746,-31.90716,4756.904,4814.0,37.2,-1
-27.45087,-31.816,4723.902,4683.0,100.9,9998
-27.31813,-31.81823,4915.321,4850.0,89.0,-1
-27.11651,-31.98602,4961.71,4972.0,82.6,-1
-27.09121,-31.97649,4868.791,4879.0,82.7,-1
-27.02366,-31.89217,4709.864,4769.0,53.8,-1
-26.91023,-31.82469,4807.368,4805.0,3.7,9998
-26.73683,-31.84269,4903.688,4845.0,150.1,-1
-26.39417,-31.83583,4716.693,4710.0,382.6,-1
-26.1691,-32.08157,4826.866,4763.0,595.7,-1
-26.09192,-32.16764,4751.979,4708.0,689.6,-1
-26.04177,-32.15065,4774.152,4717.0,769.2,-1
-26.06286,-32.08958,4776.963,4757.0,757.9,-1
-26.17016,-32.07201,4831.237,4765.0,599.7,-1
-26.22457,-32.10612,4803.627,4785.0,526.0,-1
-26.37672,-32.12446,4673.638,4695.0,392.6,-1
-26.52092,-32.16889,4610.878,4560.0,313.5,-1
-26.8154,-32.11376,4776.894,4778.0,137.9,9998
-26.97529,-31.9548,4585.343,4655.0,57.5,-1
-26.91732,-31.63032,4653.523,4849.0,25.8,9998
-26.71244,-31.25728,5180.88,5104.0,85.4,-1
-26.81457,-31.34932,4881.225,4935.0,57.9,9998
-27.21468,-31.2191,5156.146,5132.0,271.1,9998
-27.26738,-31.20642,5093.357,5073.0,290.5,9998
-27.36369,-31.35389,4933.268,4839.0,319.3,-1
-27.45252,-31.47329,5033.414,5014.0,307.3,9998
-27.50042,-31.60588,5011.849,5035.0,230.4,9998
-27.50064,-31.75072,4883.888,4860.0,138.3,9998
-27.56804,-31.72676,4981.053,5025.0,143.1,-1
-27.46421,-31.87616,4744.694,4726.0,73.8,9998
-27.42854,-32.01197,4529.654,4647.0,54.5,9998
-27.38083,-32.11195,4791.168,4818.0,68.8,9998
-27.05975,-31.96069,4859.089,4793.0,77.0,-1
-26.7571,-31.30148,4875.807,4971.0,59.6,-1
-27.15019,-31.78774,5114.262,5113.0,58.4,9998
-27.12352,-31.9068,5052.462,5036.0,66.2,9998
-27.03381,-31.99567,4739.599,4765.0,84.0,-1
-26.99256,-32.03464,4603.619,4731.0,97.4,-1
-26.99439,-31.96758,4612.758,4678.0,68.8,-1
-27.38715,-32.18111,4763.184,4733.0,88.6,-1
-27.4226,-32.44123,4790.764,4733.0,142.3,-1
-27.47156,-32.70055,4716.897,4688.0,144.4,-1
-27.46587,-32.83552,4730.992,4709.0,157.6,9998
-27.41495,-32.95426,4793.974,4805.0,185.7,9998
-27.37227,-32.87122,4801.858,4789.0,192.2,9998
-27.42305,-32.92336,4785.518,4798.0,182.7,9998
-27.53841,-32.58668,4791.111,4772.0,118.5,9998
-27.57644,-32.42358,4745.819,4715.0,108.0,9998
-27.60113,-32.40795,4740.563,4732.0,86.0,-1
-27.64274,-32.39674,4732.872,4701.0,48.1,-1
-27.67552,-32.40843,4656.854,4651.0,38.1,-1
-27.7629,-32.48492,4579.821,4522.0,89.7,-1
-27.90357,-32.58645,4400.095,4400.0,169.0,-1
-28.18508,-32.59007,4283.871,4165.0,86.2,-1
-27.72631,-31.46615,3783.366,3836.0,332.8,9998
-28.32786,-31.84288,4001.187,3997.0,269.3,9998
-28.41284,-32.92174,3637.232,3606.0,116.6,9998
-28.77223,-33.43446,3128.987,3124.0,331.6,9998
-28.90137,-33.49596,2934.598,2923.0,367.1,9998
