WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
690298361,-10.95316667,-9.145411667,-3509.483975,768.9518835,9998,33401,-3472.54632604,738.0,-1,-3469.0
690281881,-38.230585,62.7247,-2203.681382,1095.548782,9998,33401,-2242.61613578,1001.4,9998,-2244.0
690297516,-40.28685,51.73981167,-2842.325506,2036.7657,9998,33401,-2897.59362777,1936.8,9998,-2898.0
690326866,20.09925,35.95347333,-3186.971764,715.5543331,-1,33401,-3245.84283937,689.2,9998,-3240.0
69030343,-52.94560333,59.646245,-3407.481536,1766.187788,9998,33401,-3420.08418848,1700.9,-1,-3419.0
69030303,-51.77075,55.97944,-3476.766032,1558.117641,9998,33401,-3491.93178447,1479.6,-1,-3493.0
69030323,-52.95966,59.67391,-3404.549592,1767.96524,9998,33401,-3430.9035642,1704.7,-1,-3431.0
69029763,-51.72268167,56.136755,-3546.890966,802.2606681,9998,33401,-3555.25716955,749.1,-1,-3555.0
690298458,-22.76493667,0.254548333,-3754.373496,1790.216262,9998,33401,-3517.5112429,1700.5,9998,-3514.0
690355749,-6.51385,70.00597,-2278.981911,774.7693376,-1,33401,-2402.86574838,291.8,9998,-2402.0
6902811114,-36.61164333,54.54767167,-2797.616241,1727.975673,9998,33401,-2774.21887837,703.1,9998,-2772.0
690297517,-40.47523,51.87752,-2801.212011,1874.863141,-1,33401,-2854.73848561,1839.6,9998,-2855.0
69028883,-51.74686667,60.90314833,-3068.664864,1337.056107,-1,33401,-3095.1940801,1296.6,9998,-3094.0
69028863,-51.69967167,60.65017167,-3145.832931,1106.724306,-1,33401,-3223.14997526,1082.2,9998,-3225.0
69029728,-30.52030833,47.76104833,-3452.980247,1114.458895,9998,33401,-3547.50200852,1062.2,9998,-3541.0
69017568,-30.57719667,47.82257,-3754.216236,1203.625327,9998,33401,-3552.93391079,1156.3,9998,-3553.0
690288181,-34.00297667,63.24428667,-2764.363084,717.4339727,9998,33401,-2759.96984162,704.3,9998,-2760.0
690288281,-38.71361167,59.0611,-3093.524049,1071.215482,-1,33401,-3106.33857945,1092.3,9998,-3106.0
690326867,20.10918167,36.02383667,-3186.952099,616.738183,-1,33401,-3184.36799566,598.0,9998,-3189.0
69030294,-47.24285667,50.84250667,-2845.489417,1494.187513,-1,33401,-2850.76648374,1415.1,9998,-2851.0
69029704,-47.158315,50.98617667,-3084.937869,1495.282719,-1,33401,-3114.74338887,1415.2,9998,-3114.0
690176383,-16.83938,44.34829833,-3865.519129,1056.532507,9998,33401,-3694.54404826,817.7,9998,-3696.0
690281882,-38.29742833,62.11682667,-2324.290616,1042.692727,9998,33401,-2331.34435784,1052.3,9998,-2333.0
690326868,20.10093667,36.09316333,-3227.020639,573.6060414,9998,33401,-3271.08037721,545.8,9998,-3271.0
69030344,-52.09345,60.11991,-3345.934744,427.8176375,9998,33401,-3337.72253423,446.3,9998,-3338.0
69030324,-52.06196667,60.14241333,-3351.778745,403.1107202,9998,33401,-3335.3368614,429.2,9998,-3335.0
69030304,-51.52408833,56.72894,-3564.250848,493.5812423,9998,33401,-3556.12721366,551.0,-1,-3557.0
69029764,-51.96471833,57.07481,-3533.941436,299.0822524,9998,33401,-3538.30234896,273.5,9998,-3539.0
690355750,-7.22573,69.3273,-2281.033381,2645.435488,-1,33401,-2344.43571622,871.6,9998,-2346.0
6902811115,-36.57695167,54.53913667,-2787.838783,1674.26099,9998,33401,-2781.09374861,684.6,9998,-2780.0
690297518,-40.42417,51.93737,-2798.262531,2040.604158,-1,33401,-2712.76559396,1953.9,9998,-2714.0
69028884,-52.66815667,61.48430833,-3072.430338,2831.835928,9998,33401,-2979.76848122,2604.3,9998,-2979.0
69028864,-52.20773833,61.23378833,-3041.251176,666.5400934,-1,33401,-3034.59472094,560.3,9998,-3034.0
690355614,-3.08705,67.42287667,-3267.151868,310.9257107,-1,33401,-3203.82127924,311.6,9998,-3197.0
69017569,-30.71222,47.91263333,-3492.927917,1215.778078,-1,33401,-3508.71531633,1165.2,9998,-3509.0
69029729,-30.539995,47.78220667,-3755.204427,1224.185907,9998,33401,-3659.04924945,1150.1,9998,-3657.0
690288182,-34.9194,63.57226,-2420.97113,905.4910526,-1,33401,-2418.61936283,851.1,9998,-2419.0
690288282,-39.69955833,58.95019667,-3050.593493,1164.489297,-1,33401,-3053.53843785,1210.9,9998,-3053.0
690326869,20.07971333,36.125655,-3256.339339,567.1246578,9998,33401,-3218.58907166,547.3,9998,-3212.0
69030295,-47.00807333,50.60804167,-2960.930566,2058.975734,-1,33401,-2995.11496729,1991.8,9998,-2996.0
69029705,-46.88365167,51.66696167,-3864.877774,2600.159924,9998,33401,-3860.06198111,2493.7,-1,-3860.0
690176384,-16.90515,44.21367667,-3716.477584,1218.55731,-1,33401,-3671.12311236,829.1,9998,-3674.0
690281883,-38.59647333,61.53406667,-2417.427652,753.2853672,-1,33401,-2420.92136508,660.0,9998,-2419.0
690326870,20.03071167,36.10975167,-3246.56834,690.0071194,9998,33401,-3206.66230886,658.1,-1,-3208.0
69030345,-52.10415667,59.93452833,-3368.408876,705.0084913,9998,33401,-3375.1599648,697.2,-1,-3375.0
69030325,-52.11759333,59.92109667,-3374.262013,759.9426206,9998,33401,-3376.21227134,736.9,-1,-3376.0
69029765,-52.138635,57.78965667,-3509.369171,1012.095926,-1,33401,-3542.37208171,946.0,9998,-3543.0
69030305,-50.80613333,56.62902667,-3595.457512,419.5560496,-1,33401,-3602.22509339,372.5,9998,-3602.0
690298460,-22.69930667,0.153808333,-3851.090554,2323.687429,-1,33401,-3876.15636103,2165.8,9998,-3862.0
690355751,-7.175268333,68.85539,-2341.801199,936.2470489,-1,33401,-2312.98335859,312.0,9998,-2314.0
6902811116,-36.53681833,54.57285,-2735.013593,1896.936539,-1,33401,-2672.76182787,653.2,9998,-2670.0
690297519,-40.19025,51.867335,-2653.46356,2102.128581,-1,33401,-2694.91930691,2043.7,9998,-2695.0
69028885,-54.9329,62.00982,-2710.852843,1619.792384,9998,33401,-2711.70064069,1519.1,9998,-2710.0
69028865,-54.44563,61.53887167,-2921.065471,2149.365703,9998,33401,-2861.46982541,2021.2,-1,-2862.0
690297210,-30.556735,47.68588167,-3548.59359,1146.36063,-1,33401,-3573.83492323,1102.3,9998,-3575.0
690175610,-30.89011,48.05949,-3716.135494,1578.641717,9998,33401,-3790.05335438,1491.5,-1,-3788.0
69029739,-37.77934333,49.5113,-3721.487708,4815.985578,9998,33401,-4073.88662025,4643.8,-1,-4073.0
690288283,-39.73985333,59.47169833,-2934.243503,311.1343381,9998,33401,-2944.28930745,396.4,9998,-2944.0
690326871,20.00969,36.14337,-3160.5154,666.0330057,9998,33401,-3200.6734744,637.3,-1,-3200.0
69030296,-46.72043667,51.18076333,-3299.70446,2573.886528,-1,33401,-3287.66360422,2642.2,9998,-3284.0
