lat,lon,grnd,gebco,uncertainty,tid_flag
60.67342333333333,-55.274885,2951.5438503649466,2978.0,491.0,9998
27.646796666666667,-18.341653333333333,3530.391072744254,3571.0,2567.1,9998
52.40266333333334,-34.72539833333333,3340.3255790002577,3568.0,2159.7,-1
52.25389833333333,-33.750095,3860.78096212777,3884.0,3259.1,9998
60.56132,-56.79565,2964.267254219335,2989.0,839.3,9998
27.47473,-18.223106666666666,3368.191839824378,3403.0,2583.7,9998
52.496561666666665,-36.04837166666667,3142.144625175092,3070.0,1244.6,-1
52.47807,-33.130765,3100.1534180141894,3405.0,2499.3,-1
60.127381666666665,-57.736176666666665,2812.9252841436783,2832.0,1744.7,9998
27.26812,-17.9494,3746.3117602639827,3736.0,1275.8,9998
52.52206,-36.71661,3655.209310440191,3697.0,1062.1,9998
52.83612,-33.97012,3007.246190818429,2231.0,1073.7,9998
26.91495,-17.64489,3711.267865457699,3724.0,1512.9,9998
52.51621,-36.63411,3296.381736469428,3258.0,953.3,9998
52.79939,-32.57128,2671.837896554787,2765.0,1103.2,9998
59.12729,-37.17588833333333,2997.816842563185,3057.0,643.9,9998
26.558151666666667,-17.49658,3656.68688192573,3656.0,1156.9,9998
52.428095,-36.75537833333333,3813.9931497373555,3795.0,1365.1,9998
52.865521666666666,-32.54583,3278.713337196581,2641.0,1013.1,9998
59.72099,-36.11624,3072.8582367926424,3094.0,1023.1,9998
26.230868333333333,-17.20681666666667,3585.4746996861245,3576.0,312.8,9998
52.64578,-36.98816,3329.5205655238487,3301.0,938.5,9998
52.96779333333333,-32.035603333333334,3127.364547980568,3213.0,1000.2,-1
60.17631,-35.99027,3040.5282844834833,3043.0,1012.3,9998
26.177783333333334,-16.83663333333333,3566.9272197965292,3532.0,650.0,9998
52.23651666666667,-37.40868666666667,3714.727516515009,3688.0,2597.1,9998
53.057028333333335,-32.539653333333334,2792.114750090373,2741.0,618.3,-1
59.991575,-36.07636333333333,3055.218456275211,3082.0,1180.3,9998
26.367613333333335,-16.641241666666666,3610.8357106337426,3583.0,734.4,9998
52.418931666666666,-37.32386666666667,3797.444479500183,3806.0,1949.8,-1
53.12524666666667,-32.42111333333333,2812.6365738287727,2745.0,677.9,9998
59.67870333333333,-36.428021666666666,3085.5598076932524,3072.0,812.6,9998
26.71506,-16.835323333333335,3629.3002285991215,3689.0,1602.1,9998
52.166895,-37.427373333333335,3601.7312420602443,3480.0,2646.3,9998
53.09036,-32.53073,2820.4690554668277,2800.0,636.2,-1
59.60238,-35.68487833333333,2757.3224338055475,2728.0,587.1,9998
27.073063333333334,-17.076433333333334,3660.4530950788694,3654.0,1398.0,9998
52.48556333333333,-38.48256833333333,3697.111718079988,3691.0,1581.5,-1
53.03282166666666,-32.23439333333334,2954.4227258343376,2839.0,828.1,9998
59.74081666666667,-35.08806666666667,3093.353903639899,3049.0,836.7,9998
27.186996666666666,-17.149686666666668,3653.586505158941,3634.0,1019.4,9998
52.21252,-38.536366666666666,3674.7957324090144,3599.0,2427.2,9998
53.11409833333333,-32.36573,2796.0129111600354,2804.0,696.0,9998
59.82857333333333,-34.581111666666665,2871.6299945159494,3030.0,639.1,9998
27.011815,-17.297215,3682.9277803522436,3676.0,1495.0,9998
51.890298333333334,-39.031978333333335,3590.1251934234347,3517.0,3368.3,-1
52.81809,-32.317748333333334,3382.1511140010934,3209.0,1456.1,9998
60.06449666666666,-34.19637,2645.7387336771767,2983.0,652.5,9998
26.853475,-17.84515,3706.4034232991507,3709.0,1404.3,9998
52.17479,-38.82427,3323.805877682009,3408.0,2564.9,9998
52.832895,-32.698953333333336,2900.712890407586,2967.0,1001.2,9998
60.69755166666667,-34.33629333333333,2935.909969365984,3005.0,522.0,9998
26.86429,-18.43495,3782.5380678427905,3762.0,1029.1,9998
51.98181833333334,-38.884393333333335,3271.163716123767,3309.0,3020.0,-1
52.820103333333336,-32.51994333333333,3355.81129792285,2924.0,1259.0,9998
61.07305,-34.61544,2988.5627581305284,2992.0,384.8,9998
26.811551666666666,-18.899975,3755.2243223405976,3743.0,699.2,9998
52.13983666666667,-38.662745,3302.3479053522956,3362.0,2527.7,9998
52.71108,-32.93449,3392.9132917241377,3243.0,1697.6,9998
52.40618833333333,-38.85810333333333,3772.131880665062,3633.0,1795.5,-1
52.804536666666664,-33.001505,3035.589885569378,3127.0,1151.3,9998
52.82137,-32.38924,3394.830843218319,3123.0,1360.5,9998
52.695025,-39.061695,3764.244587479456,3813.0,1429.6,9998
52.77283,-32.14369,3495.2903883377257,3533.0,2177.1,9998
52.777095,-39.56774,3878.1207382740877,3887.0,1536.2,9998
52.60778333333333,-32.29620166666667,3785.6963870433037,3637.0,3449.9,9998
52.49779,-39.89219833333333,3325.6615155413083,3378.0,1868.9,9998
52.435228333333335,-39.90123166666667,3449.565725681883,3554.0,2033.5,9998
59.4263,-36.17811833333333,3095.3847401096464,3093.0,450.7,9998
59.47513,-36.17792,3092.4439499982795,3092.0,493.9,9998
52.44878666666666,-40.088791666666665,3415.426844496,3381.0,2202.7,9998
52.49065,-34.09873,3235.8764726517243,2752.0,2218.2,9998
56.756031666666665,-34.22384666666667,3109.7386991268727,2912.0,1575.9,9998
56.76414,-34.25143333333333,3109.736564432083,2500.0,1636.9,9998
29.11745,-17.247948333333333,3878.4692493124426,3888.0,969.1,9998
60.06626333333333,-36.129686666666665,3057.1528415178004,3035.0,1005.1,9998
60.070096666666664,-36.113745,3060.0808081151363,3051.0,1007.2,9998
29.002313333333333,-17.222473333333333,3823.8765822501928,3818.0,1043.5,9998
52.46760833333333,-39.84410333333334,3506.110110528993,3734.0,1938.1,9998
52.81951333333333,-31.371651666666665,3175.2540100297783,3122.0,2197.5,9998
56.64340166666667,-34.386045,2469.3155773923927,2426.0,562.2,9998
28.942793333333334,-17.198481666666666,3776.0839674756753,3832.0,1009.2,9998
56.847633333333334,-35.13075,2756.972332375739,2813.0,637.5,9998
28.91257166666667,-17.188613333333333,3754.623585922481,3759.0,991.5,9998
28.82867,-17.19015,3695.1084116142324,3638.0,981.9,9998
60.25631,-35.29401,3048.3197140901348,3047.0,947.4,9998
60.339756666666666,-35.19175666666667,3044.3941554670027,3053.0,955.9,9998
52.535875,-39.94871333333333,3236.8395671589633,3234.0,1868.6,9998
28.779721666666667,-17.219893333333335,3581.854836683904,3576.0,1002.9,9998
53.06422,-30.84089,3121.4782290374787,3106.0,1096.5,-1
56.71442833333333,-34.363385,2563.286603230827,2573.0,960.0,9998
56.838991666666665,-35.50606833333333,2844.969261241772,2851.0,606.6,9998
28.723561666666665,-17.239255,3490.0416726138697,3478.0,980.9,9998
28.66373,-17.20506,3406.010444221699,3306.0,781.5,9998
59.88036,-35.96959,3020.0949183774615,3081.0,1231.4,9998
60.862928333333336,-35.50689833333333,2990.565070560182,2981.0,919.6,9998
28.652741666666667,-17.208736666666667,3319.9780470909786,3296.0,749.1,9998
52.58900833333333,-30.618288333333332,3526.544945943461,3450.0,3474.1,-1
56.87309333333333,-34.951541666666664,2292.935660085321,2171.0,889.6,9998
56.73556166666667,-35.19501833333333,2401.718706765434,2599.0,701.7,9998
28.646065,-17.18500166666667,3222.171457946274,3241.0,668.3,9998
28.611703333333335,-17.201216666666667,3171.3023609129586,3100.0,629.0,9998
59.67097,-34.787745,2516.6624719064753,2533.0,587.1,9998
60.707163333333334,-36.64393833333333,2974.9762750066184,2962.0,441.8,9998
28.572031666666668,-17.174246666666665,3007.8360065569314,2876.0,522.9,9998
52.47864666666667,-39.90038166666667,3388.1062407409268,3460.0,1940.8,9998
52.52048166666667,-30.015778333333333,3649.3640243368545,3717.0,3608.8,-1
56.63846,-35.31462,2349.8162029451896,2361.0,718.8,9998
56.72811333333333,-35.22483833333333,2584.8162730397685,2588.0,746.2,9998
28.586201666666668,-17.1171,2953.9665573808306,2859.0,570.7,9998
28.59530833333333,-17.077656666666666,2944.169206503729,3007.0,658.6,9998
59.513405,-34.57134833333333,2459.9172347473473,2465.0,107.2,9998
28.58257,-17.06363,2984.3299513732027,2915.0,741.2,9998
60.690690000000004,-36.44929,2971.073595745695,2965.0,396.6,9998
52.38410666666667,-39.798006666666666,3779.9294578024733,3789.0,2165.7,9998
28.61934,-17.02452,2920.6533313108653,2902.0,777.2,9998
52.71616,-29.00283,3479.7078445785146,3424.0,2319.6,9998
56.66545333333333,-35.498195,2242.0077693940784,2119.0,587.5,9998
56.80292,-35.17982,2672.86507828289,2715.0,658.5,9998
28.65174,-16.997238333333332,3128.233079485597,3087.0,827.2,9998
28.682248333333334,-16.925098333333334,3216.2925437808576,3214.0,954.6,9998
59.311011666666666,-34.5819,2900.0868213854806,2974.0,221.5,9998
